CloneOf;Name;Description;Year;Manufacturer
;ep_pizza;Pizza The Action (Maygay) (EPOCH) (2.3, set 1);199?;Maygay
ep_pizza;ep_pizzaa;Pizza The Action (Maygay) (EPOCH) (2.3, set 2);199?;Maygay
ep_pizza;ep_pizzab;Pizza The Action (Maygay) (EPOCH) (2.1, set 3);199?;Maygay
ep_pizza;ep_pizzac;Pizza The Action (Maygay) (EPOCH) (2.1, set 4);199?;Maygay
;ep_pkni;The Phoenix Knights (Global) (EPOCH) (1.1, set 1);199?;Global
ep_pkni;ep_pknia;The Phoenix Knights (Global) (EPOCH) (1.1, set 2);199?;Global
ep_pkni;ep_pknib;The Phoenix Knights (Global) (EPOCH) (1.3, set 3);199?;Global
ep_pkni;ep_pknic;The Phoenix Knights (Global) (EPOCH) (1.3, set 4);199?;Global
ep_pkni;ep_pknid;The Phoenix Knights (Global) (EPOCH) (1.4, set 5);199?;Global
ep_pkni;ep_pknie;The Phoenix Knights (Global) (EPOCH) (1.7, set 6);199?;Global
ep_pkni;ep_pknif;The Phoenix Knights (Global) (EPOCH) (1.7, set 7);199?;Global
;ep_pwrpl;Power Play (Maygay) (EPOCH) (PPLY 0.3, set 1);199?;Maygay
ep_pwrpl;ep_pwrpla;Power Play (Maygay) (EPOCH) (PPLY 0.3, set 2);199?;Maygay
;ep_rags;Rags To Riches Club (Maygay) (EPOCH) (1.10, set 1);199?;Maygay
ep_rags;ep_ragsa;Rags To Riches Club (Maygay) (EPOCH) (1.10, set 2);199?;Maygay
;ep_rchik;Rich Chics Club (Global) (EPOCH) (set 1);199?;Global
ep_rchik;ep_rchika;Rich Chics Club (Global) (EPOCH) (set 2);199?;Global
;ep_react;Reactor (Maygay - Impulse) (EPOCH) (set 1);199?;Maygay
ep_react;ep_reacta;Reactor (Maygay - Impulse) (EPOCH) (set 2);199?;Maygay
ep_react;ep_reactb;Reactor (Maygay - Impulse) (EPOCH) (set 3);199?;Maygay
ep_react;ep_reactc;Reactor (Maygay - Impulse) (EPOCH) (set 4);199?;Maygay
ep_react;ep_reactd;Reactor (Maygay - Impulse) (EPOCH) (set 5);199?;Maygay
ep_react;ep_reacte;Reactor (Maygay - Impulse) (EPOCH) (set 6);199?;Maygay
;ep_redl;Red Line (Extreme) (EPOCH) (RELI 0.1, set 1);199?;Extreme
ep_redl;ep_redla;Red Line (Extreme) (EPOCH) (RELI 0.1, set 2);199?;Extreme
;ep_rlgdt;Reel Good Time (Rebuild) (Global) (Version 1.0) (EPOCH);199?;Global
;ep_roost;Roosters Millions (Maygay) (EPOCH) (1.2, set 1);199?;Maygay
ep_roost;ep_roosta;Roosters Millions (Maygay) (EPOCH) (1.2, set 2);199?;Maygay
;ep_royrc;Royal Roulette Club (Impulse) (EPOCH) (set 1);199?;Impulse
ep_royrc;ep_royrca;Royal Roulette Club (Impulse) (EPOCH) (set 2);199?;Impulse
;ep_royrl;Royal Roulette (Maygay) (EPOCH) (set 1);199?;Maygay
ep_royrl;ep_royrla;Royal Roulette (Maygay) (EPOCH) (set 2);199?;Maygay
ep_royrl;ep_royrlb;Royal Roulette (Maygay) (EPOCH) (set 3);199?;Maygay
ep_royrl;ep_royrlc;Royal Roulette (Maygay) (EPOCH) (set 4);199?;Maygay
ep_royrl;ep_royrld;Royal Roulette (Maygay) (EPOCH) (set 5);199?;Maygay
ep_royrl;ep_royrle;Royal Roulette (Maygay) (EPOCH) (set 6);199?;Maygay
;ep_rtt;Round The Twist (Maygay) (EPOCH) (set 1);199?;Maygay
ep_rtt;ep_rtta;Round The Twist (Maygay) (EPOCH) (set 2);199?;Maygay
;ep_scrm;Screamin Demon (Maygay) (EPOCH) (SCDE 2.0, set 1);199?;Maygay
ep_scrm;ep_scrma;Screamin Demon (Maygay) (EPOCH) (SCDE 2.0, set 2);199?;Maygay
ep_scrm;ep_scrmb;Screamin Demon (Maygay) (EPOCH) (SCDE 1.0, set 3);199?;Maygay
ep_scrm;ep_scrmc;Screamin Demon (Maygay) (EPOCH) (SCDE 1.0, set 4);199?;Maygay
;ep_sdcla;Spotted Dick Classic (Global) (EPOCH) (set 1);199?;Global
ep_sdcla;ep_sdclaa;Spotted Dick Classic (Global) (EPOCH) (set 2);199?;Global
ep_sdcla;ep_sdclab;Spotted Dick Classic (Global) (EPOCH) (set 3);199?;Global
ep_sdcla;ep_sdclac;Spotted Dick Classic (Global) (EPOCH) (set 4);199?;Global
ep_sdcla;ep_sdclad;Spotted Dick Classic (Global) (EPOCH) (set 5);199?;Global
ep_sdcla;ep_sdclae;Spotted Dick Classic (Global) (EPOCH) (set 6);199?;Global
ep_sdcla;ep_sdclaf;Spotted Dick Classic (Global) (EPOCH) (set 7);199?;Global
ep_sdcla;ep_sdclag;Spotted Dick Classic (Global) (EPOCH) (set 8);199?;Global
;ep_sdclb;Spotted Dick Club (Global) (EPOCH) (set 1);199?;Global
ep_sdclb;ep_sdclba;Spotted Dick Club (Global) (EPOCH) (set 2);199?;Global
;ep_secag;Secret Agent (Maygay) (EPOCH) (1.5, set 1);2002;Maygay
ep_secag;ep_secaga;Secret Agent (Maygay) (EPOCH) (1.5, set 2);2002;Maygay
ep_secag;ep_secagb;Secret Agent (Maygay) (EPOCH) (1.3, set 3);2000;Maygay
;ep_simfr;Simply Fruits (Maygay) (EPOCH) (1.2, set 1);199?;Maygay
ep_simfr;ep_simfra;Simply Fruits (Maygay) (EPOCH) (1.2, set 2);199?;Maygay
;ep_simp;The Simpsons (Maygay) (EPOCH) (3.6, set 1);1998;Maygay
ep_simp;ep_simpa;The Simpsons (Maygay) (EPOCH) (3.5, set 2);1998;Maygay
ep_simp;ep_simpb;The Simpsons (Maygay) (EPOCH) (3.5, set 3);1998;Maygay
ep_simp;ep_simpc;The Simpsons (Maygay) (EPOCH) (4.5, set 4);1998;Maygay
ep_simp;ep_simpd;The Simpsons (Maygay) (EPOCH) (4.5, set 5);1998;Maygay
ep_simp;ep_simpe;The Simpsons (Maygay) (EPOCH) (1.5, set 6);1998;Maygay
ep_simp;ep_simpf;The Simpsons (Maygay) (EPOCH) (1.5, set 7);1998;Maygay
ep_simp;ep_simpg;The Simpsons (Maygay) (EPOCH) (2.5, set 8);1998;Maygay
ep_simp;ep_simph;The Simpsons (Maygay) (EPOCH) (2.5, set 9);1998;Maygay
ep_simp;ep_simpj;The Simpsons (Maygay) (EPOCH) (1.8, set 10);1999;Maygay
ep_simp;ep_simpk;The Simpsons (Maygay) (EPOCH) (1.8, set 11);1999;Maygay
ep_simp;ep_simpl;The Simpsons (Maygay) (EPOCH) (3.7, set 12);1999;Maygay
ep_simp;ep_simpm;The Simpsons (Maygay) (EPOCH) (3.7, set 13);1999;Maygay
;ep_smoke;Holy Smoke! (Impulse) (EPOCH) (set 1);199?;Impulse
ep_smoke;ep_smokea;Holy Smoke! (Impulse) (EPOCH) (set 2);199?;Impulse
ep_smoke;ep_smokeb;Holy Smoke! (Impulse) (EPOCH) (set 3);199?;Impulse
ep_smoke;ep_smokec;Holy Smoke! (Impulse) (EPOCH) (set 4);199?;Impulse
ep_smoke;ep_smoked;Holy Smoke! (Impulse) (EPOCH) (set 5);199?;Impulse
ep_smoke;ep_smokee;Holy Smoke! (Impulse) (EPOCH) (set 6);199?;Impulse
ep_smoke;ep_smokef;Holy Smoke! (Impulse) (EPOCH) (set 7);199?;Impulse
ep_smoke;ep_smokeg;Holy Smoke! (Impulse) (EPOCH) (set 8);199?;Impulse
ep_smoke;ep_smokeh;Holy Smoke! (Impulse) (EPOCH) (set 9);199?;Impulse
ep_smoke;ep_smokei;Holy Smoke! (Impulse) (EPOCH) (set 10);199?;Impulse
ep_smoke;ep_smokej;Holy Smoke! (Impulse) (EPOCH) (set 11);199?;Impulse
;ep_snbev;Saturday Night Beaver (Global) (EPOCH) (1.8, set 1);199?;Global
ep_snbev;ep_snbeva;Saturday Night Beaver (Global) (EPOCH) (1.8, set 2);199?;Global
ep_snbev;ep_snbevb;Saturday Night Beaver (Global) (EPOCH) (1.9, set 3);199?;Global
ep_snbev;ep_snbevc;Saturday Night Beaver (Global) (EPOCH) (1.9, set 4);199?;Global
ep_snbev;ep_snbevd;Saturday Night Beaver (Global) (EPOCH) (2.1, set 5);199?;Global
ep_snbev;ep_snbeve;Saturday Night Beaver (Global) (EPOCH) (2.1, set 6);199?;Global
;ep_snset;Sunset Strip (Extreme) (EPOCH) (SUST 0.1, set 1);199?;Extreme
ep_snset;ep_snseta;Sunset Strip (Extreme) (EPOCH) (SUST 0.1, set 2);199?;Extreme
;ep_snw;Super Nudge Wink (Maygay - Union) (EPOCH) (set 1);199?;Maygay
ep_snw;ep_snwa;Super Nudge Wink (Maygay - Union) (EPOCH) (set 2);199?;Maygay
ep_snw;ep_snwb;Super Nudge Wink (Maygay - Union) (EPOCH) (set 3);199?;Maygay
ep_snw;ep_snwc;Super Nudge Wink (Maygay - Union) (EPOCH) (set 4);199?;Maygay
ep_snw;ep_snwd;Super Nudge Wink (Maygay - Union) (EPOCH) (set 5);199?;Maygay
;ep_spart;Spartacash (Maygay - Impulse) (EPOCH) (set 1);199?;Maygay
ep_spart;ep_sparta;Spartacash (Maygay - Impulse) (EPOCH) (set 2);199?;Maygay
ep_spart;ep_spartb;Spartacash (Maygay - Impulse) (EPOCH) (set 3);199?;Maygay
;ep_spcbw;Special Brew (Maygay) (EPOCH) (1.1, set 1);199?;Maygay
ep_spcbw;ep_spcbwa;Special Brew (Maygay) (EPOCH) (1.1, set 2);199?;Maygay
ep_spcbw;ep_spcbwb;Special Brew (Maygay) (EPOCH) (1.3, set 3);199?;Maygay
ep_spcbw;ep_spcbwc;Special Brew (Maygay) (EPOCH) (1.3, set 4);199?;Maygay
ep_spcbw;ep_spcbwd;Special Brew (Maygay) (EPOCH) (1.5, set 5);199?;Maygay
ep_spcbw;ep_spcbwe;Special Brew (Maygay) (EPOCH) (1.5, set 6);199?;Maygay
ep_spcbw;ep_spcbwf;Special Brew (Maygay) (EPOCH) (1.6, set 7);199?;Maygay
ep_spcbw;ep_spcbwg;Special Brew (Maygay) (EPOCH) (1.6, set 8);199?;Maygay
ep_spcbw;ep_spcbwh;Special Brew (Maygay) (EPOCH) (1.4, set 9);199?;Maygay
ep_spcbw;ep_spcbwi;Special Brew (Maygay) (EPOCH) (1.4, set 10);199?;Maygay
ep_spcbw;ep_spcbwj;Special Brew (Maygay) (EPOCH) (1.8, set 11);199?;Maygay
ep_spcbw;ep_spcbwk;Special Brew (Maygay) (EPOCH) (1.8, set 12);199?;Maygay
ep_spcbw;ep_spcbwl;Special Brew (Maygay) (EPOCH) (1.9, set 13);199?;Maygay
ep_spcbw;ep_spcbwm;Special Brew (Maygay) (EPOCH) (1.9, set 14);199?;Maygay
;ep_spec;Spectre (Maygay) (EPOCH) (1.6, set 1);2002;Maygay
ep_spec;ep_speca;Spectre (Maygay) (EPOCH) (1.6, set 2);2002;Maygay
ep_spec;ep_specb;Spectre (Maygay) (EPOCH) (1.3, set 3);1999;Maygay
;ep_spin;Spin On It (Maygay - Impulse) (EPOCH) (set 1);199?;Maygay
ep_spin;ep_spina;Spin On It (Maygay - Impulse) (EPOCH) (set 2);199?;Maygay
ep_spin;ep_spinb;Spin On It (Maygay - Impulse) (EPOCH) (set 3);199?;Maygay
ep_spin;ep_spinc;Spin On It (Maygay - Impulse) (EPOCH) (set 4);199?;Maygay
ep_spin;ep_spind;Spin On It (Maygay - Impulse) (EPOCH) (set 5);199?;Maygay
ep_spin;ep_spine;Spin On It (Maygay - Impulse) (EPOCH) (set 6);199?;Maygay
ep_hispr;ep_spirt;Hi Spirits (Global) (EPOCH) (2.3, set 1);199?;Global
ep_hispr;ep_spirta;Hi Spirits (Global) (EPOCH) (2.3, set 2);199?;Global
ep_hispr;ep_spirtb;Hi Spirits (Global) (EPOCH) (4.1, set 3);199?;Global
;ep_spntn;Spin & Tonic (Maygay - Impulse) (EPOCH) (set 1);199?;Maygay
ep_spntn;ep_spntna;Spin & Tonic (Maygay - Impulse) (EPOCH) (set 2);199?;Maygay
ep_spntn;ep_spntnb;Spin & Tonic (Maygay - Impulse) (EPOCH) (set 3);199?;Maygay
ep_spntn;ep_spntnc;Spin & Tonic (Maygay - Impulse) (EPOCH) (set 4);199?;Maygay
;ep_spook;Spooky Hollow (Global) (EPOCH) (1.3, set 1);199?;Global
ep_spook;ep_spooka;Spooky Hollow (Global) (EPOCH) (1.3, set 2);199?;Global
ep_spook;ep_spookb;Spooky Hollow (Global) (EPOCH) (2.7, set 3);199?;Global
;ep_srwin;Sir Winalot (Maygay) (EPOCH) (2.6, set 1);2002;Maygay
ep_srwin;ep_srwina;Sir Winalot (Maygay) (EPOCH) (3.3, set 2);2002;Maygay
ep_srwin;ep_srwinb;Sir Winalot (Maygay) (EPOCH) (3.3, set 3);2002;Maygay
ep_srwin;ep_srwinc;Sir Winalot (Maygay) (EPOCH) (2.6, set 4);2002;Maygay
ep_srwin;ep_srwind;Sir Winalot (Maygay) (EPOCH) (2.1, set 5);2000;Maygay
;ep_step;Stepping Stones (Maygay) (EPOCH) (1.0, set 1);199?;Maygay
ep_step;ep_stepa;Stepping Stones (Maygay) (EPOCH) (1.0, set 2);199?;Maygay
;ep_stm;Storm Force (Global) (EPOCH) (set 1);199?;Global
ep_stm;ep_stma;Storm Force (Global) (EPOCH) (set 2);199?;Global
ep_stm;ep_stmb;Storm Force (Global) (EPOCH) (set 3);199?;Global
ep_stm;ep_stmc;Storm Force (Global) (EPOCH) (set 4);199?;Global
;ep_stmcl;Storm Force Club (Global) (EPOCH) (set 1);199?;Global
ep_stmcl;ep_stmcla;Storm Force Club (Global) (EPOCH) (set 2);199?;Global
;ep_strat;Stratagem (Maygay) (EPOCH) (set 1);199?;Maygay
ep_strat;ep_strata;Stratagem (Maygay) (EPOCH) (set 2);199?;Maygay
;ep_subb;Subbuteo (Maygay) (EPOCH) (set 1);199?;Maygay
ep_subb;ep_subba;Subbuteo (Maygay) (EPOCH) (set 2);199?;Maygay
ep_subb;ep_subbb;Subbuteo (Maygay) (EPOCH) (set 3);199?;Maygay
ep_subb;ep_subbc;Subbuteo (Maygay) (EPOCH) (set 4);199?;Maygay
ep_subb;ep_subbd;Subbuteo (Maygay) (EPOCH) (set 5);199?;Maygay
ep_subb;ep_subbe;Subbuteo (Maygay) (EPOCH) (set 6);199?;Maygay
ep_subb;ep_subbf;Subbuteo (Maygay) (EPOCH) (set 7);199?;Maygay
ep_subb;ep_subbg;Subbuteo (Maygay) (EPOCH) (set 8);199?;Maygay
;ep_survi;Survival (Maygay) (EPOCH) (1.4, set 1);199?;Maygay
ep_survi;ep_survia;Survival (Maygay) (EPOCH) (1.4, set 2);199?;Maygay
;ep_tak5;Take Five (Maygay - Union) (EPOCH) (set 1);199?;Maygay
ep_tak5;ep_tak5a;Take Five (Maygay - Union) (EPOCH) (set 2);199?;Maygay
;ep_tcrwn;Triple Crown (Maygay) (EPOCH) (2.2, set 1);199?;Maygay
ep_tcrwn;ep_tcrwna;Triple Crown (Maygay) (EPOCH) (2.2, set 2);199?;Maygay
ep_tcrwn;ep_tcrwnb;Triple Crown (Maygay) (EPOCH) (2.2, set 3);199?;Maygay
ep_tcrwn;ep_tcrwnc;Triple Crown (Maygay) (EPOCH) (2.2, set 4);199?;Maygay
ep_tcrwn;ep_tcrwnd;Triple Crown (Maygay) (EPOCH) (3.1, set 5);199?;Maygay
ep_tcrwn;ep_tcrwne;Triple Crown (Maygay) (EPOCH) (3.1, set 6);199?;Maygay
;ep_tincn;Tin Can Alley (Maygay) (EPOCH) (1.5, set 1);199?;Maygay
ep_tincn;ep_tincna;Tin Can Alley (Maygay) (EPOCH) (1.5, set 2);199?;Maygay
;ep_tits;Title Shot Club (Maygay) (EPOCH) (1.7, set 1);199?;Maygay
ep_tits;ep_titsa;Title Shot Club (Maygay) (EPOCH) (1.7, set 2);199?;Maygay
ep_tits;ep_titsb;Title Shot Club (Maygay) (EPOCH) (1.5, set 3);199?;Maygay
;ep_tod;Truth Or Dare (Global) (EPOCH) (set 1);199?;Global
ep_tod;ep_toda;Truth Or Dare (Global) (EPOCH) (set 2);199?;Global
;ep_tonfn;Tons Of Fun (Maygay) (EPOCH) (1.5, set 1);199?;Maygay
ep_tonfn;ep_tonfna;Tons Of Fun (Maygay) (EPOCH) (1.5, set 2);199?;Maygay
;ep_tortr;Torture TV (Maygay) (EPOCH) (1.3, set 1);2000;Maygay
ep_tortr;ep_tortra;Torture TV (Maygay) (EPOCH) (1.3, set 2);2000;Maygay
;ep_tp;Trivial Pursuit (Maygay) (EPOCH) (3.5, set 1);199?;Maygay
;ep_tp2;Trivial Pursuit 2 (Maygay) (EPOCH) (2.2, set 1);199?;Maygay
ep_tp2;ep_tp2a;Trivial Pursuit 2 (Maygay) (EPOCH) (2.2, set 2);199?;Maygay
ep_tp;ep_tpa;Trivial Pursuit (Maygay) (EPOCH) (3.5, set 2);199?;Maygay
ep_tp;ep_tpb;Trivial Pursuit (Maygay) (EPOCH) (2.1, set 3);199?;Maygay
;ep_trail;Trailblazer (Maygay - Impulse) (EPOCH) (set 1);199?;Maygay
ep_trail;ep_traila;Trailblazer (Maygay - Impulse) (EPOCH) (set 2);199?;Maygay
ep_trail;ep_trailb;Trailblazer (Maygay - Impulse) (EPOCH) (set 3);199?;Maygay
;ep_treas;Treasure Hunt (Global) (EPOCH) (Version 1.6);199?;Global
;ep_tree;Tree Amigos (Maygay) (EPOCH) (TRAM 0.3, set 1);199?;Maygay
ep_tree;ep_treea;Tree Amigos (Maygay) (EPOCH) (TRAM 0.3, set 2);199?;Maygay
;ep_trics;Triple Cash (Maygay - Union) (EPOCH) (set 1);199?;Maygay
ep_trics;ep_tricsa;Triple Cash (Maygay - Union) (EPOCH) (set 2);199?;Maygay
;ep_tutcl;Tutankhamun Club (Maygay) (EPOCH) (2.1, set 1);199?;Maygay
ep_tutcl;ep_tutcla;Tutankhamun Club (Maygay) (EPOCH) (2.1, set 2);199?;Maygay
ep_tutcl;ep_tutclb;Tutankhamun Club (Maygay) (EPOCH) (1.8, set 3);199?;Maygay
;ep_twarp;Time Warp (Extreme) (EPOCH) (TWRP 0.1, set 1);199?;Extreme
ep_twarp;ep_twarpa;Time Warp (Extreme) (EPOCH) (TWRP 0.1, set 2);199?;Extreme
ep_twarp;ep_twarpb;Time Warp (Extreme) (EPOCH) (TWRP 0.4, set 3);199?;Extreme
ep_twarp;ep_twarpc;Time Warp (Extreme) (EPOCH) (TWRP 0.4, set 4);199?;Extreme
;ep_utncl;Utter Nutter Club (Global) (EPOCH) (set 1);199?;Global
ep_utncl;ep_utncla;Utter Nutter Club (Global) (EPOCH) (set 2);199?;Global
;ep_utnut;Utter Nutter (Global) (EPOCH) (set 1);199?;Global
ep_utnut;ep_utnuta;Utter Nutter (Global) (EPOCH) (set 2);199?;Global
ep_utnut;ep_utnutb;Utter Nutter (Global) (EPOCH) (set 3);199?;Global
ep_utnut;ep_utnutc;Utter Nutter (Global) (EPOCH) (set 4);199?;Global
;ep_vipjv;Viper Jive (Maygay - Extreme) (EPOCH) (JIVE 1.1, set 1);199?;Maygay
ep_vipjv;ep_vipjva;Viper Jive (Maygay - Extreme) (EPOCH) (JIVE 1.1, set 2);199?;Maygay
ep_vipjv;ep_vipjvb;Viper Jive (Maygay - Extreme) (EPOCH) (JIVE 2.2, set 3);199?;Maygay
ep_vipjv;ep_vipjvc;Viper Jive (Maygay - Extreme) (EPOCH) (JIVE 2.2, set 4);199?;Maygay
ep_vipjv;ep_vipjvd;Viper Jive (Maygay - Extreme) (EPOCH) (JIVE 2.1, set 5);199?;Maygay
;ep_wf;Wildfire (Global) (EPOCH) (set 1);199?;Global
ep_wf;ep_wfa;Wildfire (Global) (EPOCH) (set 2);199?;Global
ep_wf;ep_wfb;Wildfire (Global) (EPOCH) (set 3);199?;Global
ep_wf;ep_wfc;Wildfire (Global) (EPOCH) (set 4);199?;Global
ep_wf;ep_wfd;Wildfire (Global) (EPOCH) (set 5);199?;Global
ep_wf;ep_wfe;Wildfire (Global) (EPOCH) (set 6);199?;Global
ep_wf;ep_wff;Wildfire (Global) (EPOCH) (set 7);199?;Global
ep_wf;ep_wfg;Wildfire (Global) (EPOCH) (set 8);199?;Global
;ep_wildf;Wildfire (Maygay - Impulse) (EPOCH) (set 1);199?;Maygay
ep_wildf;ep_wildfa;Wildfire (Maygay - Impulse) (EPOCH) (set 2);199?;Maygay
;ep_wipeo;Wipeout (Maygay) (EPOCH) (set 1);199?;Maygay
ep_wipeo;ep_wipeoa;Wipeout (Maygay) (EPOCH) (set 2);199?;Maygay
ep_wipeo;ep_wipeob;Wipeout (Maygay) (EPOCH) (set 3);199?;Maygay
ep_wipeo;ep_wipeoc;Wipeout (Maygay) (EPOCH) (set 4);199?;Maygay
ep_wipeo;ep_wipeoe;Wipeout (Maygay) (EPOCH) (set 5);199?;Maygay
;ep_wleek;Weakest Leek Club (Global) (EPOCH) (set 1);199?;Global
ep_wleek;ep_wleeka;Weakest Leek Club (Global) (EPOCH) (set 2);199?;Global
;ep_word;Word Up (Maygay) (EPOCH) (1.4, set 1);199?;Maygay
ep_word;ep_worda;Word Up (Maygay) (EPOCH) (1.4, set 2);199?;Maygay
ep_word;ep_wordb;Word Up (Maygay) (EPOCH) (2.4, set 3);199?;Maygay
ep_word;ep_wordc;Word Up (Maygay) (EPOCH) (2.4, set 4);199?;Maygay
ep_word;ep_wordd;Word Up (Maygay) (EPOCH) (3.1, set 5);199?;Maygay
ep_word;ep_worde;Word Up (Maygay) (EPOCH) (3.1, set 6);199?;Maygay
ep_word;ep_wordf;Word Up (Maygay) (EPOCH) (4.1, set 7);199?;Maygay
ep_word;ep_wordg;Word Up (Maygay) (EPOCH) (4.1, set 8);199?;Maygay
;ep_wside;Wildside (Global) (EPOCH) (1.2, set 1);199?;Global
ep_wside;ep_wsidea;Wildside (Global) (EPOCH) (set 2);199?;Global
;ep_wud;What's Up Doc (Global) (EPOCH) (set 1);199?;Global
ep_wud;ep_wuda;What's Up Doc (Global) (EPOCH) (set 2);199?;Global
ep_wud;ep_wudb;What's Up Doc (Global) (EPOCH) (set 3);199?;Global
ep_wud;ep_wudc;What's Up Doc (Global) (EPOCH) (set 4);199?;Global
ep_wud;ep_wudd;What's Up Doc (Global) (EPOCH) (set 5);199?;Global
ep_wud;ep_wude;What's Up Doc (Global) (EPOCH) (set 6);199?;Global
;ep_xspot;X Marks The Spot (Maygay) (EPOCH) (1.5, set 1);2002;Maygay
ep_xspot;ep_xspota;X Marks The Spot (Maygay) (EPOCH) (1.5, set 2);2002;Maygay
ep_xspot;ep_xspotb;X Marks The Spot (Maygay) (EPOCH) (1.4, set 3);1999;Maygay
;ep_xtra;X-tra X-tra (Maygay) (EPOCH) (1.5, set 1);199?;Maygay
ep_xtra;ep_xtraa;X-tra X-tra (Maygay) (EPOCH) (1.5, set 2);199?;Maygay
;epacman2;Pac Man 2 (Entex, cyan Pacman);1981;Entex
epacman2;epacman2r;Pac Man 2 (Entex, red Pacman);1981;Entex
;epc;Ericsson PC;1985;Ericsson Information System
;epg3231;Elan ePG3231;;
;epic12;EPIC12 Blitter;;
;epic14e;Epic 14E (v1.0);1982;Epic Computer Products
;epitch;e-pitch (Japan);2003;Takara / SSD Company LTD
;epl43102;Elan EPL43102 LCD Driver;;
;epo_bowl;Excite Bowling (Japan);2002;Epoch / SSD Company LTD
;epo_dmon;Doraemon Wakuwaku Kuukihou (Japan);2002;Epoch / SSD Company LTD
;epo_ebox;Excite Boxing (Japan);2002;Epoch / SSD Company LTD
;epo_efdx;Excite Fishing DX (Japan);200?;Epoch / SSD Company LTD
;epo_epp;Excite Ping Pong (Japan);2000;Epoch / SSD Company LTD
;epo_epp3;Challenge Ai-chan! Excite Ping Pong (Japan);2006;Epoch / SSD Company LTD
epo_epp;epo_eppk;Real Ping Pong (Korea);2000;Epoch / SSD Company LTD / Sonokong
;epo_esdx;Excite Stadium DX (Japan);2002;Epoch / SSD Company LTD
;epo_guru;Gururin World (Japan);2005;Epoch / SSD Company LTD
;epo_sdb;Super Dash Ball (Japan);2004;Epoch / SSD Company LTD
;epo_tfit;Excite Sports Tennis x Fitness (Japan);2004;Epoch / SSD Company LTD
ibm5150;eppc;Ericsson Portable PC;1985;Ericsson Information System
;eprom;Escape from the Planet of the Robot Monsters (set 1);1989;Atari Games
eprom;eprom2;Escape from the Planet of the Robot Monsters (set 2);1989;Atari Games
;eps;EPS;1988;Ensoniq
eps;eps16p;EPS-16 Plus;1990;Ensoniq
ibm5170;epsax;PC AX;198?;Epson
ibm5170;epsax2e;PC AX2e;198?;Epson
ibm5170;epsax3;PC AX3;198?;Epson
;epson_pf10;EPSON PF-10 Portable Floppy Unit;;
;epson_qx_kbd;Epson QX-10 Keyboard Port;;
;epson_qx_option_bus;QX-10 Option Bus;;
;epson_qx_option_cr1510;Comrex ComFiler CR-1510;;
;epson_qx_option_ide;Epson QX-10 Compact Flash Adapter;;
;epson_qx_option_multifont;Epson Multifont Card;;
;epson_qx_option_slot;QX-10 Option slot;;
;epson_qx_option_sound_card;Epson QX-10 YM2149 Sound Card;;
;epson_sd_320;EPSON SD-320 Mini-Floppy Disk Drive;;
;epson_sd_321;EPSON SD-321 Mini-Floppy Disk Drive;;
;epson_sio;EPSON SIO port;;
;epson_smd_165;EPSON SMD-165 Floppy Disk Drive;;
;epson_tf20;EPSON TF-20 Dual Floppy Disk Drive;;
;equites;Equites;1984;Alpha Denshi Co.
equites;equitess;Equites (Sega);1984;Alpha Denshi Co. (Sega license)
;er1400;ER1400 Serial EAROM (100x14);;
;er2055;ER2055 EAROM (64x8);;
;er5911_16;Serial EEPROM ER5911 (64x16);;
;er5911_8;Serial EEPROM ER5911 (128x8);;
;ergo201;ERGO 201 (Special #9233);1985;Micro-Term / Kurzweil Computer Products
;ergoline_kbd;Ergoline Keyboard;;
special;erik;Erik;1994;<unknown>
;erosone;Eros One;1979;Fascination Int.
;ertictac;Erotictac/Tactic;1990;Sisteme
ertictac;ertictaca;Erotictac/Tactic (ver 01);1990;Sisteme
ertictac;ertictacb;Erotictac/Tactic (set 2);1990;Sisteme
;es1373;Creative Labs Ensoniq AudioPCI97 ES1373;;
wales210;es210_es;ES-210 (Spain);199?;Nakajima
;es5503;Ensoniq ES5503;;
;es5505;Ensoniq ES5505;;
;es5506;Ensoniq ES5506;;
;es5510;ES5510;;
;es8712;Excellent Systems ES8712 Sound Controller;;
;esb;The Empire Strikes Back;1985;Atari Games
;esbattle;Space Battle (Entex);1979;Entex
;escape;Escape;1987;Jac Van Ham (Royal)
;esckids;Escape Kids (Asia, 4 Players);1991;Konami
esckids;esckidsj;Escape Kids (Japan, 2 Players);1991;Konami
;esclwrld;Escape from the Lost World;1987;Bally
esclwrld;esclwrldg;Escape from the Lost World (German);1987;Bally
lrescue;escmars;Escape from Mars (bootleg of Lunar Rescue);1980;bootleg
;escounts;Every Second Counts (39-360-053);1990;BFM
;esh;Esh's Aurunmilla (set 1);1983;Funai/Gakken
esh;esha;Esh's Aurunmilla (set 2);1983;Funai/Gakken
esha_la3;esha_la1;Earthshaker (LA-1);1988;Williams
;esha_la3;Earthshaker (LA-3);1988;Williams
esha_la3;esha_lg1;Earthshaker (German) (LG-1);1988;Williams
esha_la3;esha_lg2;Earthshaker (German) (LG-2);1988;Williams
esha_la3;esha_ma3;Earthshaker (Metallica) (LA-3);1989;Williams
esha_la3;esha_pa1;Earthshaker (Prototype) (PA-1);1988;Williams
esha_la3;esha_pa4;Earthshaker (Prototype) (PA-4);1988;Williams
esha_la3;esha_pr4;Earthshaker (Family version) (PR-4);1989;Williams
esh;eshb;Esh's Aurunmilla (set 3);1983;Funai/Gakken
